S22525405,173
C22007741,169
C22002582,166
C22023433,165
C22008301,162
C22010185,162
C22047116,160
C22145380,160
C22046626,156
C22140830,156
S22128532,156
C22950267,155
C22903161,155
C22015208,152
C22700244,151
C22000651,150
C22005656,150
C22078421,150
C22042799,149
C22062930,149
C22007863,148
C22015044,148
S22138306,148
C22016799,147
C22130839,147
S22340634,147
C22004282,146
C22134269,146
C22138600,146
C22624758,146
C22633108,146
C22688555,146
C22146885,145
C22345406,145
S22125914,145
C22605915,145
C22678956,145
C22900751,145
C22001266,144
C22004500,144
C22014597,144
C22064144,144
S22129930,144
C22597804,144
C22617511,144
C22018634,143
C22028991,143
C22059061,143
C22142749,143
C22628667,143
C22631966,143
C22017242,142
C22032170,142
C22032963,142
C22068183,142
C22129895,142
S22130620,142
C22689086,142
C22000327,141
C22004902,141
C22015820,141
C22017730,141
C22030456,141
C22632880,141
C22637247,141
C22689521,141
C22000244,140
C22005834,140
C22012069,140
C22015683,140
C22592432,140
C22030947,139
C22061027,139
C22063832,139
S22158473,139
C22602777,139
C22613853,139
C22616346,139
C22647405,139
C22668093,139
C22696488,139
C22004848,138
C22013617,138
S22591902,138
C22690237,138
C22026498,137
C22026765,137
C22033497,137
C22060733,137
C22083295,137
C22170008,137
C22634696,137
C22014925,136
C22016290,136
C22065212,136
C22088674,136
C22098093,136
C22168511,136
C22625717,136
C22637516,136
C22638280,136
C22700828,136
C22709542,136
C22003134,135
C22007333,135
C22012357,135
C22020498,135
C22151558,135
C22594810,135
S22159399,135
C22594459,135
C22595301,135
C22600958,135
C22601958,135
C22645497,135
C22659751,135
C22951103,135
C22008951,134
C22009674,134
C22011791,134
C22035440,134
C22050901,134
C22138820,134
C22157664,134
C22170477,134
C22616427,134
C22657250,134
C22662238,134
C22005225,133
C22032424,133
C22051873,133
C22344334,133
C22602933,133
C22636334,133
C22654232,133
C22661355,133
C22900045,133
C22013517,132
C22013708,132
C22016973,132
C22022261,132
C22024181,132
C22030798,132
C22062194,132
C22136490,132
C22174482,132
C22613375,132
C22656110,132
C22002377,131
C22017916,131
C22059798,131
C22062254,131
C22139158,131
C22140504,131
C22157598,131
C22170928,131
C22604072,131
C22607820,131
C22635755,131
C22680710,131
C22697299,131
C22950489,131
C22049725,130
C22137025,130
C22141173,130
C22144196,130
C22677888,130
C22687666,130
C22003913,129
C22006973,129
C22008059,129
C22018070,129
C22030013,129
C22030533,129
C22173340,129
C22647248,129
C22666426,129
C22676871,129
C22009564,128
C22011963,128
C22021829,128
C22048640,128
C22067324,128
C22172250,128
S22133650,128
C22349051,128
C22614528,128
C22622093,128
C22625544,128
C22648183,128
C22674266,128
C22683924,128
C22696543,128
C22019007,127
C22045955,127
C22078524,127
C22079582,127
C22137177,127
S22159622,127
S22159722,127
C22623045,127
C22631821,127
C22637476,127
C22658978,127
C22902477,127
C22902528,127
C22023531,126
C22067983,126
C22150004,126
C22609563,126
C22675430,126
C22682341,126
C22683572,126
C22696673,126
C22013292,125
C22016588,125
C22018384,125
C22019146,125
C22029365,125
C22060542,125
C22140613,125
C22173509,125
C22631654,125
C22647192,125
C22654542,125
C22656826,125
C22688857,125
C22700770,125
C22701861,125
C22011447,124
C22017099,124
C22019832,124
C22047502,124
C22064758,124
C22140480,124
C22147776,124
C22344722,124
S22344027,124
C22605210,124
C22618415,124
C22628349,124
C22633877,124
C22657734,124
C22678599,124
C22002416,123
C22006047,123
C22018232,123
C22020243,123
C22063200,123
C22151442,123
C22605504,123
C22665299,123
C22697638,123
